date,customer,talk
1/07/2016,1,3.833333333
4/07/2016,0.666666667,12.61666667
5/07/2016,1,2.266666667
6/07/2016,0,10.01666667
7/07/2016,1,5.816666667
8/07/2016,1,7.7
12/07/2016,0.5,5.75
13/07/2016,0,1.85
15/07/2016,1,8.266666667
18/07/2016,1,2.583333333
19/07/2016,0.5,8.766666667
20/07/2016,1,3.083333333
21/07/2016,1,2.55
26/07/2016,1,1.733333333
27/07/2016,1,7.833333333
29/07/2016,0.5,8.766666667
2/08/2016,0.5,6.233333333
3/08/2016,0,4.25
4/08/2016,0.5,9.6
8/08/2016,1,3.883333333
9/08/2016,0,5.9
10/08/2016,0,2
12/08/2016,0.75,13.7
15/08/2016,1,3.483333333
16/08/2016,0.666666667,20.88333333
17/08/2016,0.5,6.566666667
18/08/2016,0.5,5.383333333
19/08/2016,0.5,8.216666667
23/08/2016,1,3.65
24/08/2016,1,9.2
25/08/2016,0.333333333,9.4
29/08/2016,0,4.15
31/08/2016,1,5.533333333
1/09/2016,1,7.433333333
2/09/2016,1,4.266666667
5/09/2016,1,2.966666667
7/09/2016,1,2.633333333
8/09/2016,1,5.816666667
9/09/2016,1,12.95
12/09/2016,1,1.933333333
15/09/2016,1,2.15
16/09/2016,0.5,4.583333333
19/09/2016,1,2.766666667
20/09/2016,1,3.983333333
22/09/2016,1,15.43333333
23/09/2016,1,3.9
26/09/2016,1,3.05
27/09/2016,0.666666667,11.26666667
29/09/2016,0.666666667,20.63333333
30/09/2016,0,2.383333333
4/10/2016,1,5.866666667
5/10/2016,1,7.416666667
6/10/2016,1,7.716666667
7/10/2016,1,12.03333333
10/10/2016,1,4.383333333
11/10/2016,1,1.983333333
12/10/2016,1,17.55
13/10/2016,1,9.8
14/10/2016,0,6.016666667
17/10/2016,0.666666667,10.51666667
18/10/2016,1,6.216666667
19/10/2016,0,2.983333333
20/10/2016,1,4.6
24/10/2016,0.75,10.55
25/10/2016,1,7.716666667
27/10/2016,1,9.5
28/10/2016,1,3.916666667
31/10/2016,1,2.383333333
1/11/2016,1,3.016666667
2/11/2016,1,14.68333333
3/11/2016,1,2.7
4/11/2016,1,14.46666667
7/11/2016,1,2.383333333
9/11/2016,1,10.33333333
10/11/2016,1,4.9
11/11/2016,0.666666667,8.6
