date,calls,abnd,att,awt,awtx Abnd ,YN
01/07/2016,473,148,59.35,105.4666667,1.04324074,10
04/07/2016,473,158,44.16666667,91.76666667,1.045925925,8
05/07/2016,445,84,33.86666667,42.71666667,0.320567129,13
06/07/2016,417,97,41.93333333,79.58333333,0.576689814,10
07/07/2016,412,95,41.53333333,66.08333333,0.544953704,7
08/07/2016,438,63,36.85,34.96666667,0.179027777,12
09/07/2016,1,1,0,1.4,0.000972222,1
11/07/2016,472,112,35.68333333,79.66666667,0.652824074,9
12/07/2016,405,49,32.65,40.75,0.155462961,10
13/07/2016,416,92,39.76666667,70.01666666,0.424525463,13
14/07/2016,431,76,40.51666667,68.33333333,0.345671296,14
15/07/2016,450,106,37.03333333,63.58333333,0.527337961,10
18/07/2016,557,114,36.96666667,63.95,0.569189815,12
19/07/2016,460,63,33.98333333,37.85,0.222546297,9
20/07/2016,461,79,51.01666667,45.85,0.277777777,11
21/07/2016,465,49,33.18333333,28.28333333,0.126956019,11
25/07/2016,661,221,40.36666667,108.05,1.604398148,6
26/07/2016,466,100,48.4,62.95,0.41480324,11
27/07/2016,446,96,42.28333333,53.4,0.50605324,10
28/07/2016,508,140,32.23333333,61.25,0.765590278,10
29/07/2016,506,136,47.08333333,100.5,0.82497685,9
01/08/2016,6,6,0,2.3,0.002118056,5
02/08/2016,660,240,37.98333333,124.4,1.741736112,11
03/08/2016,544,280,39.83333333,134.8833333,2.293437499,6
04/08/2016,524,178,58.35,112.4,1.05972222,11
05/08/2016,479,124,31.25,62.41666667,0.748136574,8
08/08/2016,591,215,39.23333333,89.63333333,1.268888889,11
09/08/2016,445,148,35.16666667,98.33333333,1.003020835,11
10/08/2016,468,160,48.63333333,119.2,1.028032409,9
11/08/2016,470,110,34.71666667,67.68333333,0.495150464,12
12/08/2016,473,106,42.23333333,80.68333333,0.509317131,12
15/08/2016,550,200,35.95,89.48333334,1.456377314,8
16/08/2016,452,94,54.4,73.95,0.501770834,11
17/08/2016,442,95,40.45,91.23333333,0.542673612,8
18/08/2016,381,51,32.56666667,48.18333334,0.176655092,11
19/08/2016,480,150,47.4,134.5,1.087777777,8
22/08/2016,521,193,33.53333333,90.51666667,1.438206019,8
23/08/2016,398,124,36.03333333,74.4,0.570370372,13
24/08/2016,441,110,37.7,56.58333333,0.420636574,13
25/08/2016,552,203,37.98333333,113.05,1.358217593,10
26/08/2016,497,144,26.2,82.01666667,1.032997686,6
29/08/2016,582,219,48,139.6,1.63613426,7
30/08/2016,460,154,38.91666667,98.4,1.031238426,9
31/08/2016,385,133,39.36666667,72.45000001,0.767974537,10
01/09/2016,432,119,39.06666667,70.71666667,0.643738424,10
02/09/2016,412,127,32.36666667,93.06666667,0.859664351,9
05/09/2016,487,112,34.91666667,65.16666667,0.613958332,12
06/09/2016,426,111,26.6,51.45,0.585636573,11
07/09/2016,383,55,32.05,23.5,0.131030094,10
08/09/2016,488,104,38.56666667,61.36666667,0.447951388,12
09/09/2016,464,69,43.7,46.86666667,0.23295139,14
12/09/2016,538,153,30.91666667,78.71666667,0.86820602,11
13/09/2016,415,107,27.96666667,69.15,0.573206017,8
14/09/2016,349,25,30.7,14.23333333,0.036527777,12
15/09/2016,423,85,32.48333334,67.85,0.433020833,12
16/09/2016,388,40,27.11666667,32.1,0.087048612,9
19/09/2016,471,50,29.11666667,37.06666667,0.100787038,12
20/09/2016,413,57,33.58333334,40.6,0.174212963,13
21/09/2016,356,28,26.81666667,18.83333333,0.066608796,10
22/09/2016,470,106,43.53333333,66.21666667,0.449016205,15
23/09/2016,456,113,32.83333333,83.38333334,0.703796296,11
26/09/2016,435,81,29.9,52.06666667,0.343831017,13
27/09/2016,451,114,35.13333333,57.61666666,0.477129631,13
28/09/2016,390,58,21.46666667,39.01666667,0.191064815,10
29/09/2016,441,66,47.1,60.81666667,0.23295139,11
30/09/2016,410,76,36.4,78.63333333,0.352384258,11
03/10/2016,397,58,39,45.63333333,0.201006945,12
04/10/2016,377,22,36,18.61666667,0.044189815,13
05/10/2016,393,41,37.55,29.23333333,0.103738426,12
06/10/2016,480,69,32.38333333,44.5,0.235127314,11
07/10/2016,448,92,39.81666667,59.03333333,0.357418982,11
10/10/2016,520,97,30.35,55.55,0.516388889,10
11/10/2016,420,107,31.06666667,77.4,0.529108794,12
12/10/2016,387,86,44.58333333,55.58333333,0.360543983,13
13/10/2016,377,43,36.91666667,30.3,0.116921297,13
14/10/2016,472,140,34.55,94.26666667,0.863449073,10
17/10/2016,498,118,37.68333334,90.13333333,0.574710647,12
18/10/2016,406,47,30.35,39.13333333,0.172245371,11
19/10/2016,379,83,29.58333333,62.36666667,0.333622685,11
20/10/2016,478,119,35.26666667,56.65,0.476412038,13
21/10/2016,451,66,28.23333333,50.15,0.273321759,8
24/10/2016,428,56,31.96666667,50.85,0.204363426,11
25/10/2016,351,35,33.26666667,31.26666667,0.064155094,12
26/10/2016,424,51,21.88333333,40,1.52E-01,10
27/10/2016,403,32,37.85,22.95,0.052835648,12
28/10/2016,422,21,27.38333333,14.61666667,0.02957176,10
31/10/2016,509,68,32.26666667,27.88333333,0.211585649,12
01/11/2016,286,17,28.05,9.783333333,0.029143519,9
02/11/2016,379,46,45.2,26.15,0.091458332,15
03/11/2016,516,106,43.18333333,84.1,0.440243057,17
04/11/2016,488,57,46.73333333,47.65,0.17849537,12
07/11/2016,511,110,31.6,78.93333334,0.584444444,11
08/11/2016,401,32,31.13333333,19.15,0.079097223,11
09/11/2016,383,83,40.68333333,41.11666667,0.254641205,14
10/11/2016,433,81,33.96666667,51.55,0.391712963,12
11/11/2016,516,109,37.41666667,73.21666667,0.479016205,12
14/11/2016,488,84,45.03333333,39.3,0.235069443,13
15/11/2016,371,42,33.48333333,23.5,0.094953703,11
16/11/2016,399,72,29.28333333,42.66666667,0.233796297,13
17/11/2016,484,65,32.61666667,36.96666667,0.176956017,13
18/11/2016,453,53,32.55,25.66666667,0.125671296,12
21/11/2016,524,134,38.48333333,74.56666667,0.61869213,11
22/11/2016,501,123,33.78333333,63.95,0.472743056,14
23/11/2016,488,115,29.81666667,37.66666667,0.486620371,10
24/11/2016,471,126,31.06666667,47.31666667,0.547268518,9
25/11/2016,451,55,35.5,25.73333333,1.12E-01,13
28/11/2016,557,139,41.8,84.88333334,0.631678242,14
29/11/2016,519,143,32.66666667,37.41666667,0.394363427,12
30/11/2016,409,70,30.75,44.41666667,0.201469908,15
01/12/2016,509,83,32.4,56.23333334,0.300729166,13
02/12/2016,495,127,39.01666667,84.61666667,0.605983796,14
05/12/2016,576,162,31.98333333,75.8,0.889166667,12
06/12/2016,420,40,27.75,21.65,0.074270834,11
07/12/2016,482,116,51.9,71.63333334,0.399305555,15
08/12/2016,435,47,39.96666667,39.33333333,0.149027777,13
09/12/2016,495,120,29.28333334,67.66666666,0.65392361,9
12/12/2016,502,131,39.11666667,74.78333333,0.765648147,11
13/12/2016,415,39,38.8,27.85,0.07173611,11
14/12/2016,434,85,43.28333333,64.55,0.286168982,13
15/12/2016,454,99,30.13333333,58.7,0.43287037,10
16/12/2016,450,82,42.58333333,62.16666667,0.327499999,12
19/12/2016,507,132,31.01666667,69,0.689594908,11
20/12/2016,433,90,29.43333333,57.76666667,0.560601852,10
21/12/2016,401,69,42.73333333,39.5,0.275798611,10
22/12/2016,351,188,18.31666667,89.95,1.94306713,5
23/12/2016,480,99,36.46666667,62.65,0.500763889,13
30/12/2016,145,145,0,113.05,2.131631943,4
03/01/2017,1080,571,35.46666667,129.65,4.625995372,7
04/01/2017,529,146,50.38333333,95.73333333,0.772835648,9
05/01/2017,544,165,32.91666667,82.33333333,1.053819442,9
06/01/2017,488,91,43.75,54.11666667,0.389618055,16
09/01/2017,567,143,36.51666667,89.13333334,0.710775463,11
10/01/2017,438,65,30.93333333,36.31666667,0.230219908,10
11/01/2017,435,91,38.25,67.85,0.455613424,14
12/01/2017,475,84,32.3,46.51666667,0.322118056,12
13/01/2017,512,48,27.96666667,27.96666667,0.142314814,10
16/01/2017,604,222,32.98333333,91.45000001,1.456203703,10
17/01/2017,502,177,31.43333333,91.1,1.117152779,9
